"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000118564",2022.94979196103,0.540215587351378,0.257658904854732,0.0189586026768292,0.0410613643962024
"ENSG00000267750",143.622106440324,-0.850171176329332,0.467934223805192,0.0190033206383146,0.0411544519119523
"ENSG00000099864",41.5147861018783,0.813926967796318,0.44002747493658,0.019011217098791,0.0411677873832152
"ENSG00000214193",576.162969202322,0.800812072734872,0.43022392095853,0.0190227933032649,0.0411890879781804
"ENSG00000106290",1851.44351383618,-0.278825877638752,0.122228337868818,0.0190335682200335,0.0412048820285025
"ENSG00000119397",624.297683369028,0.564945740456393,0.2724733876225,0.0190324098392928,0.0412048820285025
"ENSG00000138073",2232.88914404859,-0.410088235584942,0.186369008078307,0.0190471918532633,0.0412295243814401
"ENSG00000253549",3.37511965447889,2.74087862327669,2.37078384430503,0.0190484338053205,0.0412295243814401
"ENSG00000131019",98.9379351355537,0.66595522540705,0.33592550344709,0.0190652169582129,0.0412620787860702
"ENSG00000176531",184.584289910847,0.505615127310042,0.238142883748229,0.0191068825650377,0.0413484744074945
"ENSG00000265158",16.1808891525936,-1.20400865664945,0.796710126837532,0.019111888098774,0.0413555268245908
"ENSG00000081181",774.327654066814,-0.850873352833021,0.469217507873209,0.0191243754039101,0.041378766009173
"ENSG00000270246",44.7375899433813,-1.05332851471741,0.646300922125719,0.0191687205539621,0.0414709243929241
"ENSG00000175305",365.981040897544,-0.905622238702191,0.514292158118955,0.0192263134561422,0.0415917244130724
"ENSG00000119965",361.846651201928,0.449050021563531,0.207240554657759,0.0192366355523517,0.0416102521444393
"ENSG00000236942",2.78418740076277,-2.74512804164933,2.38453534994358,0.0192615791851041,0.0416604010565187
"ENSG00000257523",3.12592224685931,-2.80131918067688,2.44676798313156,0.019271167326491,0.041673525325539
"ENSG00000250107",3.12592224685931,-2.80131918067688,2.44676798313156,0.019271167326491,0.041673525325539
"ENSG00000226835",3.46421417506231,2.74701292842947,2.38768283306115,0.0192870455727484,0.0417040527877593
"ENSG00000269973",79.3598069990059,0.909033300945805,0.518004437757781,0.0193497910749343,0.0418359056963948
"ENSG00000155621",284.320718198613,0.402927994760522,0.183203542444795,0.0193515627637896,0.0418359159567428
"ENSG00000227888",5.98371586984486,-2.78303447571309,2.43048190238092,0.0193608431089115,0.0418521576088467
"ENSG00000152910",122.425937161779,-2.70284197196965,2.34347402575475,0.0193726767837355,0.0418739153011234
"ENSG00000224389",35.0470470052038,1.21500643958,0.812399494242482,0.0194390498596895,0.0420135448222609
"ENSG00000231734",6.31479585805608,2.00474645777221,1.63851156894309,0.0195151395102311,0.0421741473333097
"ENSG00000234608",349.52005412218,-0.543728032982999,0.261249664123254,0.0195370511815908,0.0422176472416286
"ENSG00000123124",2429.95095047062,-0.47438615445774,0.221673897871349,0.0195453116918051,0.0422316430851314
"ENSG00000253706",3.1946365659509,2.69297485992806,2.34115317749062,0.0195742473481929,0.0422903051795934
"ENSG00000180336",30.3082359993946,-0.892589821671186,0.505836016443683,0.0195794823536492,0.0422977558108897
"ENSG00000138463",502.226043379022,0.478212212644065,0.223881256082259,0.0195872031409291,0.0423105746526575
"ENSG00000179611",52.3983921876771,0.788653119450307,0.424204802107969,0.0196094367201312,0.0423547375681944
"ENSG00000233818",6.73941869067515,3.03651115034165,2.74588015740363,0.0196179109436159,0.0423673226505076
"ENSG00000153291",149.347974224792,-0.855789198478464,0.476109898185625,0.0196188421480832,0.0423673226505076
"ENSG00000162068",2.99124423531874,-2.77200648664486,2.42992900349485,0.0196256336935185,0.0423781239362915
"ENSG00000258301",148.479244943069,-1.1341468480449,0.731053485149534,0.0196334276997797,0.0423910876935696
"ENSG00000135439",22.6723303125956,1.00333423840805,0.603840038505997,0.0196732531780028,0.0424693303697642
"ENSG00000234353",29.4288003738538,-1.23408487489089,0.835561782377938,0.0196716470995138,0.0424693303697642
"ENSG00000229596",3.78735545428486,2.34894400201304,1.98810903074771,0.0196815947468599,0.0424834642010576
"ENSG00000267383",6.51439927535052,3.01930880597427,2.72963951672362,0.0197242892783981,0.042571740860951
"ENSG00000271830",3.29158650182254,2.70431623308378,2.36016792804665,0.0197372100338402,0.0425957453259716
"ENSG00000118785",56.15990117221,3.4041537492414,3.53557199283426,0.0197401436659637,0.0425981937275814
"ENSG00000135097",18.4417109981629,-2.02148079027572,1.66182373184894,0.0197692781757123,0.0426532895358429
"ENSG00000105443",1445.3636682958,0.447786145482469,0.207610296213363,0.0197690722762107,0.0426532895358429
"ENSG00000172828",50.8296345220123,-0.757370747869385,0.402067752804389,0.0197884270521175,0.0426907141059669
"ENSG00000094631",1590.46798146209,-0.486264779792518,0.228843079862156,0.0198037306267712,0.0427198369214705
"ENSG00000141627",965.773574328358,0.522850453784587,0.249722617979495,0.0198087435311924,0.042726757819809
"ENSG00000116273",662.933351243705,0.369336852562311,0.166865974936396,0.0198139383695949,0.0427319169601459
"ENSG00000140987",590.727784766696,0.417890157235418,0.191785209180386,0.0198147449552495,0.0427319169601459
"ENSG00000184983",1584.23273480357,-0.404279933040613,0.184700990004951,0.019822501193374,0.0427408579141715
"ENSG00000188293",6.86486947844543,3.03479864051338,2.75555813947377,0.0198211769033917,0.0427408579141715
"ENSG00000215182",5.42346810990441,-3.02843528554613,2.74753110402208,0.0198274737398917,0.0427476867364246
"ENSG00000105996",17.3747187004065,1.92720743329208,1.56825515994345,0.0198354655334098,0.0427610231662154
"ENSG00000102900",2950.58710037878,0.452698696631836,0.210407894230321,0.0198396690288254,0.042766191150355
"ENSG00000173200",6.66052690764295,2.04078863494561,1.68370383246018,0.0198641417143901,0.0428150462787087
"ENSG00000148143",1054.82019114605,0.382654385822707,0.17369397974838,0.0198792564607588,0.0428437243056059
"ENSG00000243679",134.537187517485,0.82449707126718,0.453029008109621,0.0198935047317418,0.0428705298565077
"ENSG00000159842",2371.65736751637,0.411739287352891,0.188714552523128,0.0199001900839754,0.0428810339113839
"ENSG00000177173",12.6910520899909,1.48208980330033,1.10621480125188,0.0199392784083345,0.0429613517948983
"ENSG00000177239",2505.31402572233,0.295947542951444,0.131287047622039,0.0199628761336827,0.0430082819123935
"ENSG00000108788",2844.58485114433,-0.362354710689782,0.163627914219457,0.0199900591328968,0.0430629269483757
"ENSG00000104129",387.869982371445,0.403830276896908,0.184763309317056,0.0199977967727548,0.0430718635200568
"ENSG00000164294",1337.08215325552,0.509501162761519,0.242469655367657,0.0199978458282715,0.0430718635200568
"ENSG00000116833",7.25234979157503,-2.26729236857227,1.91588889025302,0.0200138482272706,0.0430984888110128
"ENSG00000261003",6.73919228360101,-1.91764697181887,1.56280262253503,0.0200131228514044,0.0430984888110128
"ENSG00000102096",556.042555865633,-0.569287521726994,0.277870420763184,0.0200157071250321,0.0430985719897587
"ENSG00000106261",4027.97191357369,-0.553666939174078,0.26844217682713,0.0200179705535412,0.0430995261249609
"ENSG00000198929",47.8180037202348,-0.992998483612613,0.597254455529423,0.0200234235669202,0.0431034275655942
"ENSG00000163810",29.3598299100635,0.93041739050753,0.541064945653805,0.0200225088911863,0.0431034275655942
"ENSG00000068971",575.900216404768,0.54176540785156,0.261376156934702,0.020029001093619,0.0431075955725495
"ENSG00000164172",1736.0854852035,-0.332597496598369,0.148987225950435,0.0200282694330079,0.0431075955725495
"ENSG00000224861",785.87359918199,0.465829905981858,0.217985283917611,0.0200364283411777,0.0431168857772093
"ENSG00000015285",25.532783069131,-1.50295737287791,1.13033546745729,0.0200369596742253,0.0431168857772093
"ENSG00000272940",5.87249903268221,-2.06550120479449,1.71328123122114,0.0200433065748757,0.0431266239343267
